Período (Dias Úteis),Libra esterlina / Pound sterling
04-01-1999,0.7111
05-01-1999,0.7122
06-01-1999,0.7076
07-01-1999,0.70585
08-01-1999,0.7094
11-01-1999,0.7044
12-01-1999,0.7066
13-01-1999,0.7084
14-01-1999,0.7062
15-01-1999,0.7039
18-01-1999,0.7013
19-01-1999,0.7
20-01-1999,0.7014
21-01-1999,0.7023
22-01-1999,0.7005
25-01-1999,0.6989
26-01-1999,0.6976
27-01-1999,0.6968
28-01-1999,0.6928
29-01-1999,0.691
01-02-1999,0.6904
02-02-1999,0.6888
03-02-1999,0.6925
04-02-1999,0.6894
05-02-1999,0.6885
08-02-1999,0.6888
09-02-1999,0.6911
10-02-1999,0.6954
11-02-1999,0.6975
12-02-1999,0.6917
15-02-1999,0.6895
16-02-1999,0.6854
17-02-1999,0.6873
18-02-1999,0.6871
19-02-1999,0.6838
22-02-1999,0.6789
23-02-1999,0.6796
24-02-1999,0.6883
25-02-1999,0.6888
26-02-1999,0.6873
01-03-1999,0.6829
02-03-1999,0.6764
03-03-1999,0.6723
04-03-1999,0.6759
05-03-1999,0.6737
08-03-1999,0.6776
09-03-1999,0.6754
10-03-1999,0.6746
11-03-1999,0.6694
12-03-1999,0.6686
15-03-1999,0.6739
16-03-1999,0.6703
17-03-1999,0.6744
18-03-1999,0.676
19-03-1999,0.6708
22-03-1999,0.6677
23-03-1999,0.6706
24-03-1999,0.6653
25-03-1999,0.6668
26-03-1999,0.665
29-03-1999,0.6615
30-03-1999,0.6638
31-03-1999,0.6663
01-04-1999,0.669
02-04-1999,0.672
05-04-1999,0.6702
06-04-1999,0.6759
07-04-1999,0.6772
08-04-1999,0.6731
09-04-1999,0.6724
12-04-1999,0.6723
13-04-1999,0.6671
14-04-1999,0.6667
15-04-1999,0.6682
16-04-1999,0.6633
19-04-1999,0.6586
20-04-1999,0.6589
21-04-1999,0.6593
22-04-1999,0.6585
23-04-1999,0.6583
26-04-1999,0.6569
27-04-1999,0.6587
28-04-1999,0.6583
29-04-1999,0.6584
30-04-1999,0.6571
03-05-1999,0.6571
04-05-1999,0.6553
05-05-1999,0.6552
06-05-1999,0.6601
07-05-1999,0.661
10-05-1999,0.6604
11-05-1999,0.6619
12-05-1999,0.6577
13-05-1999,0.656
14-05-1999,0.6601
17-05-1999,0.6598
18-05-1999,0.6592
19-05-1999,0.6569
20-05-1999,0.6591
21-05-1999,0.6583
24-05-1999,0.6617
25-05-1999,0.6634
26-05-1999,0.658
27-05-1999,0.6551
28-05-1999,0.6546
31-05-1999,0.6524
01-06-1999,0.6505
02-06-1999,0.6443
03-06-1999,0.6458
04-06-1999,0.6412
07-06-1999,0.6414
08-06-1999,0.6489
09-06-1999,0.6523
10-06-1999,0.6538
11-06-1999,0.6506
14-06-1999,0.6473
15-06-1999,0.6501
16-06-1999,0.651
17-06-1999,0.6481
18-06-1999,0.6506
21-06-1999,0.6506
22-06-1999,0.6498
23-06-1999,0.6511
24-06-1999,0.6533
25-06-1999,0.6578
28-06-1999,0.6564
29-06-1999,0.6544
30-06-1999,0.6563
01-07-1999,0.6502
02-07-1999,0.6498
05-07-1999,0.6491
06-07-1999,0.6514
07-07-1999,0.6563
08-07-1999,0.6544
09-07-1999,0.6577
12-07-1999,0.6527
13-07-1999,0.6538
14-07-1999,0.6523
15-07-1999,0.6513
16-07-1999,0.6509
19-07-1999,0.6511
20-07-1999,0.6618
21-07-1999,0.6653
22-07-1999,0.6642
23-07-1999,0.6634
26-07-1999,0.6731
27-07-1999,0.668
28-07-1999,0.6683
29-07-1999,0.6665
30-07-1999,0.6598
02-08-1999,0.6591
03-08-1999,0.6588
04-08-1999,0.6627
05-08-1999,0.667
06-08-1999,0.665
09-08-1999,0.6665
10-08-1999,0.6655
11-08-1999,0.6623
12-08-1999,0.6614
13-08-1999,0.6619
16-08-1999,0.6585
17-08-1999,0.6584
18-08-1999,0.6556
19-08-1999,0.6556
20-08-1999,0.659
23-08-1999,0.658
24-08-1999,0.6576
25-08-1999,0.6572
26-08-1999,0.6574
27-08-1999,0.6588
30-08-1999,0.6582
31-08-1999,0.6585
01-09-1999,0.6593
02-09-1999,0.6631
03-09-1999,0.6634
06-09-1999,0.6607
07-09-1999,0.6576
08-09-1999,0.6536
09-09-1999,0.6513
10-09-1999,0.6463
13-09-1999,0.6407
14-09-1999,0.6468
15-09-1999,0.6462
16-09-1999,0.6416
17-09-1999,0.6423
20-09-1999,0.641
21-09-1999,0.6383
22-09-1999,0.6423
23-09-1999,0.639
24-09-1999,0.6374
27-09-1999,0.6327
28-09-1999,0.6362
29-09-1999,0.643
30-09-1999,0.6475
01-10-1999,0.6499
04-10-1999,0.6469
05-10-1999,0.6456
06-10-1999,0.6488
07-10-1999,0.649
08-10-1999,0.6451
11-10-1999,0.6424
12-10-1999,0.6459
13-10-1999,0.6518
14-10-1999,0.6499
15-10-1999,0.6519
18-10-1999,0.6509
19-10-1999,0.6474
20-10-1999,0.646
21-10-1999,0.6446
22-10-1999,0.6426
